Mental Model,Category,Subcategory,Type,Key Application,Description,Sources,Is Duplicate,Wikipedia URL
Algorithms,Systems and Mathematics,Systems,System Concept,,Methodical decision-making steps,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Algorithm
Alloying,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Combine elements for enhanced properties,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Alloying
Amygdala Hijack,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Amygdala_hijack
Anchor Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Anchor_effect
Anchoring,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Anchoring
Anchoring Bias,Cognitive Bias,Reference Points,Cognitive Bias,,Over-relying on first information received as reference point for decisions,"Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); SuperThinking; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Anchoring_bias
Anecdotal Evidence vs. Empirical Evidence,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Antifragile,Key Concepts,Foundational Thinking,Resilience Framework,,"Systems that benefit from disorder, volatility, and stress",Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Gabriel Weinberg & Lauren McCann; Nassim Taleb; Nassim Taleb (Antifragile); Shane Parrish; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Antifragile
Antifragile Systems,System Design,Resilience,Framework,,,Antifragile; Nassim Taleb,No,
Apophenia,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Apophenia
Assumptions Hacking,Assumptions,Constraints,Decision Framework,,,Ozan Varol; Think Like a Rocket Scientist,No,
Asymmetric Information,Economics and Art,Economics,Economic Principle,,"When one party has more info than other, market efficiency decreases",Behavioral Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Asymmetric_Information
Atomic Habits,Behavior Change,Behavior Design,Behavioral Framework,,Tiny 1% improvements compound into remarkable results over time,Atomic Habits; James Clear; James Clear (Atomic Habits),No,https://en.wikipedia.org/wiki/Atomic_Habits
Atomic Habits Framework,Habits,System Design,Behavioral Model,,,Atomic Habits; James Clear,No,
Attain Distance Before Deciding,Distance,Perspective Taking,Decision Framework,,,Chip & Dan Heath; Decisive,No,
Audience,Economics and Art,Art,Art Concept,,Who receives interprets,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Audience
Authority,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Authority
Authority Bias,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Authority_bias
Authority Support,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,
Availability Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Availability_bias
Availability Heuristic,Cognitive Bias,Accessibility,Cognitive Bias,,Overestimating the probability of events that easily come to mind,"99 Mental Models; Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); SuperThinking; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Availability_heuristic
Babel Problem,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Babel_Proclamation
Backfire Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Backfire_effect
Bandwagon Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Bandwagon_effect
Barbell Portfolio Strategy,Risk & Uncertainty,Portfolio Strategy,Investment Model,,,Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,
Barbell Strategy,Risk Management,Portfolio Design,Portfolio Strategy,,Combine conservative core with aggressive bets to limit downside while enabling upside,Antifragile; Investment Strategy; Nassim Taleb; Nassim Taleb (Antifragile),No,https://en.wikipedia.org/wiki/Barbell_strategy
Base Rate Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Reasoning Bias,,Ignoring base rate when making probabilistic judgments,99 Mental Models; Gabriel Weinberg & Lauren McCann; Probability Theory; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Base_rate_fallacy
Behavior Design,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,https://en.wikipedia.org/wiki/Behavior_design
Behavior > Knowledge,Finance,Behavior,Behavioral Model,,,Morgan Housel; Psychology of Money,No,
Behavior Matters More Than Knowledge,Finance & Behavior,Investment Psychology,Behavioral Model,,,Morgan Housel; Psychology of Money; The Psychology of Money,No,
Bell Curve,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Bell_Curve
Bias,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Bias
Big Five Personality Traits,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Big_Five_personality_traits
Bike-Shedding,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Bike_shedding
Birth Lottery,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Birth_lottery
Black-and-White Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Black-and-white_fallacy
Black and White Thinking,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Black-and-white-thinking
Black Swan,Probability & Risk,Probability,Risk Framework,,Highly improbable events with massive impact that seem predictable only in hindsight,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb; Nassim Taleb (Black Swan); SuperThinking,No,https://en.wikipedia.org/wiki/Black_Swan
Black Swan Events,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Black_swan_events
Black Swan Theory,Risk & Probability,Rare Events,Risk Framework,,,Black Swan; Nassim Taleb,No,https://en.wikipedia.org/wiki/Black_swan_theory
Boiling Frog,Key Concepts,Foundational Thinking,Change Pattern,,"Slow, incremental changes go unnoticed until too late",99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Boiling_frog
Boiling Frog Syndrome,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Boiling_frog_syndrome
Bottlenecks,Systems and Mathematics,Systems,System Concept,,The slowest part of a system determines overall output,Great Mental Models Vol 3; Operations Management; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Bottleneck
Brain Plasticity,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Brain_plasticity
Brand,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Brand
BRAVING Framework,Trust,Building,Leadership Framework,,,Brené Brown; Dare to Lead,No,
BRAVING Framework for Trust,Trust & Relationships,Trust Building,Relationship Framework,,"Boundaries, Reliability, Accountability, Vault, Integrity, Non-judgment, Generosity",Brené Brown; Brené Brown (Dare to Lead); Dare to Lead,No,
Bridging the Divide Between Systems,Business & Life,Systems & Decision-Making,Principle,,,Principles; Ray Dalio,No,
Broken Windows Theory,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Broken_windows_theory
Broken Window Theory,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Broken_windows_theory
Butterfly Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Butterfly_effect
Bystander Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Bystander_effect
Cash Flow Quadrant,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Cashflow_Quadrant
Catalysts,"Physics, Chemistry, Biology",Chemistry,Chemistry Principle,,Elements that accelerate change without being consumed in the process,Chemistry; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; SuperThinking,No,https://en.wikipedia.org/wiki/Catalysis
Categorical Imperative,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Categorical_imperative
Challenge Extrovert Ideal,Work Environment,Culture,Organizational Model,,,Quiet; Susan Cain,No,
Chaos Dynamics,Systems and Mathematics,Supporting Ideas,System Theory,,Small changes large effects,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,
Character,Economics and Art,Art,Narrative Concept,,Personalities drive perspective,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Character
Chicken-and-Egg Problem,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Chicken_and_egg_problem
Chilling Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Chilling_effect
Choice Architecture,Design & Behavior,Decision Context,Design Framework,,How choices are presented shapes which option people select,Behavioral Economics; Cass Sunstein & Richard Thaler; Cass Sunstein & Richard Thaler (Nudge); Nudge,No,https://en.wikipedia.org/wiki/Choice_architecture
Chunking Technique,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Churn,Systems and Mathematics,Systems,System Concept,,Ongoing replacement components,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Churn
Circle of Competence,General Thinking Concepts,Fundamental Frameworks,Framework,,Operate only within your area of genuine expertise to avoid costly mistakes,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 1; Poor Charlie's Almanack; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Circle_of_competence
Circle of Influence vs. Circle of Concern,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Clustering Illusion,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Clustering_illusion
Cobra Effect,"Biases, Fallacies & Effects",Behavioral & Social,Problem Model,,Attempted solution creates worse version of original problem,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Cobra_Effect
Cognitive Dissonance,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Cognitive_dissonance
Cognitive Revolution,Human Evolution,Historical Events,Historical Framework,,Development of abstract thinking and language enabling humans to dominate,Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens),No,https://en.wikipedia.org/wiki/Cognitive_revolution
Commitment,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Commitment
Comparative Advantage,Economics and Art,Economics,Economic Principle,,Relative efficiency determines,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Comparative_advantage
Complete Narrative from Incomplete Information,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money,No,
Complex Adaptive Systems,Systems and Mathematics,Supporting Ideas,System Theory,,Many interacting parts adapt,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Complex_adaptive_system
Compound Effect of Small Changes,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear,No,
Compounding,Systems and Mathematics,Mathematics,Mathematical Principle,,"Small, consistent gains multiply exponentially over long periods",Great Mental Models Vol 3; James Clear; James Clear (Atomic Habits); Morgan Housel; Morgan Housel (Psychology of Money); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Compounding
Compound Interest,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Compound_interest
Confirmation Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Cognitive Bias,,Seeking and favoring information that confirms pre-existing beliefs,Cognitive Science; Daniel Kahneman; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Confirmation_bias
Confirmation Bias in Decisions,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
Confounding Factor,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Confounding_Factor
Conjunction Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Conjunction_fallacy
Conscious Learning,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
Contact Theory,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,https://en.wikipedia.org/wiki/Contact_theory
Contact Theory for Conflict,Resolution,Reconciliation,Social Framework,,,Amanda Ripley; High Conflict,No,
Contact Theory for Reducing Conflict,Conflict Resolution,Connection,Social Framework,,,Amanda Ripley; High Conflict,No,
Context,Economics and Art,Art,Art Concept,,Circumstances of creation,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Context
Context + IDEALS Framework,Additional Frameworks,Decision Making,Framework,,,Cross-Source,No,
Contrast Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Contrast_effect
Control Group / Randomised Control Trial,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,
Convergent Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Convergent_thinking
Convex Payoff,Economics,Payoff Structures,Risk Model,,,Antifragile; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,
Cooperation,"Physics, Chemistry, Biology",Biology,Social Principle,,Working together multiplies success,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Cooperation
Correlation does not imply causation,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation
Correlation Doesn't Imply Causation,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Correlation_does_not_imply_causation
Cost,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Cost
Cost-Benefit Analysis,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Cost-Benefit_Analysis
Counterfactual Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Counterfactual_thinking
Creating the Space Between Stimulus and Response,Decision Making & Psychology,Key Principles,Principle,,Pause before react,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
Creative Destruction,Economics and Art,Economics,Economic Theory,,Process of disruptive innovation destroys old to create new value,Great Mental Models Vol 4; Schumpeter; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Creative_destruction
Critical Mass,Systems and Mathematics,Systems,System Concept,,Minimum threshold needed for system to become self-sustaining,Great Mental Models Vol 3; Malcolm Gladwell; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking,No,https://en.wikipedia.org/wiki/Critical_Mass
Critical Mass & Chain Reaction,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Critical Mass / Tipping Point,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Critical Thinking,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Critical_thinking
Cultural Legacy,Success Patterns,Cultural Context,Success Model,,,Malcolm Gladwell; Outliers,No,https://en.wikipedia.org/wiki/Cultural_legacy_of_the_Titanic
Cumulative Advantage,Success Patterns,Advantage Stacking,Success Framework,,Small advantages compound over time to create massive differences in outcomes,Malcolm Gladwell; Malcolm Gladwell (Outliers); Outliers,No,https://en.wikipedia.org/wiki/Cumulative_advantage
Curiosity Gap,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Curiosity_(EP)
Dark Patterns,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Dark_pattern
Dataism,Future Worldviews,Data Age,Philosophical Framework,,Information flow itself becomes the most important thing; humans become data points,Homo Deus; Yuval Noah Harari; Yuval Noah Harari (Homo Deus),No,https://en.wikipedia.org/wiki/Dataism
Decentralized Decision Making,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,https://en.wikipedia.org/wiki/Decentralized_decision-making
Decision Fatigue,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Decision_fatigue
Decision Matrix,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Decision_matrix
Decision Quality vs Outcome Quality,Decision Making,Quality Decisions,Decision Model,,,Annie Duke; Thinking in Bets,No,
Decision Tree,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Decision_Tree
Decision Trees,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Decision_tree
Deep Principles Over Specific Techniques,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
Deep Principles Over Techniques,Learning & Mastery,Learning Strategy,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
Deep Principles > Techniques,Learning,Depth,Learning Model,,,Josh Waitzkin; The Art of Learning,No,
Default Effect,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Default_effect
Definition Principle,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,
Delay of Gratification,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Delay_of_gratification
Deliberate Practice,Key Concepts,Reasoning & Thinking Models,Learning Framework,,"Focused, challenging practice with feedback is the path to excellence",Angela Duckworth; Angela Duckworth (Grit); Expertise research; Gabriel Weinberg & Lauren McCann; Grit; Malcolm Gladwell (Outliers); SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Deliberate_practice
Diffusion of Innovations,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Diffusion_of_innovations
Diffusion of Innovations Curve,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
DISC,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/DISC
Disconfirmation Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Disconfirmation_bias
Discounted Cash Flow Model,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Dissenting Voices in Groups,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets,No,
Distribution,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Distribution
Distributions,Systems and Mathematics,Supporting Ideas,Statistical Concept,,How data spreads across range,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Distribution
Divergent Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Divergent_thinking
Double Entry Accounting,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Double-entry_Accounting
Dunbar's Number,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Dunbar%27s_number
Dunning-Kruger Effect,"Biases, Fallacies & Effects",Behavioral & Social,Cognitive Bias,,Incompetent people overestimate their competence; experts underestimate theirs,99 Mental Models; Cognitive Psychology; Dunning & Kruger; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Dunning-Kruger_Effect
Economies of Scale,Economics and Art,Economics,Economic Principle,,Per-unit costs decrease as production volume increases,Business Strategy; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Economies_of_scale
Ecosystems,"Physics, Chemistry, Biology",Biology,Biological System,,Interconnected organisms environment,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Ecosystem
Ego Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish,No,
Eisenhower Decision Matrix,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Eisenhower_decision_matrix
